transaction_id,store,date,price,quantity,item,price_per_item,user_id
T001,Petpals Mart,2024-04-12,3.0,1,Gatorboost,3.0,
T002,Urban Outfitters Loft,2023-11-01,11.0,2,"Flixnet, Dovee",5.5,
T003,Urban Outfitters Loft,2024-02-15,10.0,1,Flixnet,10.0,
T004,Urban Outfitters Loft,2022-05-23,2.0,1,Kittykat,2.0,
T005,Bestchoice Buy,2022-05-15,2.0,1,Dovee,2.0,
T006,Urban Outfitters Loft,2022-08-25,9.0,3,Redcow,3.0,
T007,Trader Tales,2022-07-05,8.0,2,"Colgatex, Krafty Cheddar",4.0,
T008,Trader Tales,2023-08-17,1.0,1,Krafty Cheddar,1.0,
T009,Trader Tales,2022-07-31,17.0,3,"Colgatex, Flixnet, Coca-splash",5.67,
T010,Trader Tales,2023-07-30,1.0,1,Gatorboost,1.0,
T011,Sparkmart,2022-12-11,4.0,1,Colgatex,4.0,
T012,Trader Tales,2022-06-20,22.0,5,"Redcow, Krafty Cheddar",4.4,
T013,Urban Outfitters Loft,2022-10-03,12.0,4,"Popsi, Dovee, Flixnet",3.0,
T014,Urban Outfitters Loft,2022-07-01,3.0,2,"Dovee, Colgatex",1.5,
T015,Petpals Mart,2023-04-27,23.0,3,"Flixnet, Gatorboost",7.67,
T016,Petpals Mart,2023-01-09,15.0,3,"Flixnet, Oreoz, Kittykat",5.0,
T017,Sparkmart,2022-02-23,13.0,3,"Colgatex, Redcow, Kittykat",4.33,
T018,Trader Tales,2022-09-04,5.0,1,Krafty Cheddar,5.0,
T019,Trader Tales,2023-10-02,1.0,1,Oreoz,1.0,
T020,Urban Outfitters Loft,2024-03-19,10.0,4,"Redcow, Dovee, Popsi",2.5,
T021,Petpals Mart,2023-04-28,12.0,2,"Kittykat, Flixnet",6.0,
T022,Trader Tales,2023-06-26,19.0,3,"Flixnet, Redcow, Popsi",6.33,
T023,Petpals Mart,2023-05-02,1.0,1,Dovee,1.0,
T024,Urban Outfitters Loft,2024-04-21,9.0,4,"Kittykat, Gatorboost",2.25,
T025,Trader Tales,2024-01-01,1.0,1,Flixnet,1.0,
T026,Trader Tales,2022-06-27,7.0,2,"Oreoz, Colgatex",3.5,
T027,Trader Tales,2023-08-20,29.0,4,"Flixnet, Redcow, Kittykat",7.25,
T028,Petpals Mart,2022-03-27,9.0,4,"Dovee, Colgatex, Oreoz",2.25,
T029,Trader Tales,2022-03-27,34.0,5,"Flixnet, Redcow",6.8,
T030,Trader Tales,2022-11-27,11.0,4,"Dovee, Krafty Cheddar",2.75,
T031,Urban Outfitters Loft,2022-04-16,3.0,1,Oreoz,3.0,
T032,Petpals Mart,2023-12-28,32.0,4,"Colgatex, Flixnet",8.0,
T033,Petpals Mart,2022-08-05,6.0,2,Oreoz,3.0,
T034,Sparkmart,2024-03-08,20.0,3,"Kittykat, Flixnet",6.67,
T035,Petpals Mart,2023-10-17,1.0,1,Dovee,1.0,
T036,Urban Outfitters Loft,2023-02-19,15.0,5,"Redcow, Kittykat, Flixnet, Gatorboost",3.0,
T037,Petpals Mart,2023-08-27,1.0,1,Dovee,1.0,
T038,Urban Outfitters Loft,2023-10-24,2.0,1,Colgatex,2.0,
T039,Bestchoice Buy,2022-10-02,37.0,5,"Flixnet, Kittykat, Colgatex",7.4,
T040,Petpals Mart,2022-03-02,11.0,4,"Krafty Cheddar, Dovee, Colgatex",2.75,
T041,Trader Tales,2022-06-18,14.0,2,"Kittykat, Flixnet",7.0,
T042,Petpals Mart,2023-09-02,14.0,5,"Krafty Cheddar, Colgatex, Popsi",2.8,
T043,Urban Outfitters Loft,2022-04-17,2.0,2,Dovee,1.0,
T044,Urban Outfitters Loft,2023-04-17,15.0,6,"Redcow, Kittykat",2.5,
T045,Urban Outfitters Loft,2024-02-02,41.0,6,"Flixnet, Popsi, Gatorboost, Flixnet",6.83,
T046,Urban Outfitters Loft,2023-04-18,8.0,3,"Gatorboost, Colgatex",2.67,
T047,Urban Outfitters Loft,2022-10-08,21.0,3,"Flixnet, Dovee",7.0,
T048,Petpals Mart,2023-02-17,13.0,6,"Kittykat, Popsi, Dovee",2.17,
T049,Urban Outfitters Loft,2022-10-15,4.0,2,"Dovee, Oreoz",2.0,
T050,Urban Outfitters Loft,2023-03-22,24.0,4,"Flixnet, Kittykat, Colgatex",6.0,
T051,Trader Tales,2022-09-10,17.0,4,"Krafty Cheddar, Popsi, Oreoz",4.25,
T052,Urban Outfitters Loft,2023-06-19,7.0,3,"Dovee, Gatorboost",2.33,
T053,Trader Tales,2023-12-28,11.0,4,"Dovee, Colgatex",2.75,
T054,Petpals Mart,2023-12-13,16.0,3,"Popsi, Flixnet",5.33,
