sender_id,recipient_id,amount,date
0926,0531,70.47,2022-01-07
0280,0735,21.88,2022-01-10
0571,0737,44.68,2022-01-13
0958,0945,39.94,2022-01-17
0373,0817,6.98,2022-01-17
0965,0571,7.81,2022-01-17
0678,0400,1.35,2022-01-20
0960,0973,35.81,2022-01-20
0144,0177,67.75,2022-01-26
0435,0870,85.26,2022-01-31
0899,0098,78.96,2022-02-08
0570,0084,1.0,2022-02-09
0699,0931,39.03,2022-02-10
0958,0961,26.79,2022-02-11
0871,0706,12.13,2022-02-13
0308,0973,7.76,2022-02-14
0686,0882,14.93,2022-02-16
0751,0915,22.27,2022-02-17
0919,0538,23.74,2022-02-18
0111,0104,7.4,2022-02-20
0931,0187,13.75,2022-02-20
0938,0452,20.19,2022-02-22
0814,0425,28.96,2022-02-22
0979,0830,45.17,2022-02-22
0322,0064,11.62,2022-02-23
0915,0676,7.51,2022-02-25
0915,0958,20.82,2022-02-28
0430,0518,40.34,2022-03-02
0820,0719,89.06,2022-03-04
0852,0916,18.04,2022-03-06
0570,0105,33.74,2022-03-07
0385,0954,4.36,2022-03-11
0454,0588,9.33,2022-03-18
0516,0890,13.79,2022-03-18
0981,0366,12.47,2022-03-19
0862,0947,44.65,2022-03-25
0956,0936,34.9,2022-03-27
0083,1000,19.55,2022-04-01
0258,0926,3.49,2022-04-02
0570,0931,29.26,2022-04-03
0924,0915,56.23,2022-04-05
0960,0945,9.36,2022-04-10
0960,0802,29.23,2022-04-26
0979,0815,47.61,2022-05-01
0986,0979,56.93,2022-05-05
0028,0907,12.86,2022-05-06
0094,0076,15.65,2022-05-09
0960,0236,4.95,2022-05-11
0457,0421,52.87,2022-05-14
0882,0472,79.59,2022-05-16
0272,0966,79.49,2022-05-19
0957,0279,33.96,2022-05-21
0431,0472,62.4,2022-05-21
0066,0342,45.42,2022-05-22
0640,1000,8.46,2022-05-25
0414,0273,19.97,2022-05-28
0781,0461,50.19,2022-05-29
0430,0220,17.46,2022-05-31
0110,0258,1.0,2022-06-05
0833,0813,126.24,2022-06-05
0878,0881,9.88,2022-06-07
0494,0568,44.81,2022-06-08
0289,0535,16.33,2022-06-08
0452,0947,31.89,2022-06-09
0820,0648,62.17,2022-06-09
0011,0171,25.66,2022-06-10
0979,0561,44.62,2022-06-13
0827,0254,7.83,2022-06-13
0259,0965,68.0,2022-06-15
0387,0605,10.9,2022-06-15
0049,0212,33.08,2022-06-26
0671,0160,35.34,2022-06-26
0048,0461,18.51,2022-06-29
0629,0272,43.39,2022-07-02
0916,0960,39.94,2022-07-06
0206,0747,2.79,2022-07-09
0177,0480,34.74,2022-07-11
0930,0933,11.02,2022-07-13
0915,0743,19.17,2022-07-15
0810,0206,17.94,2022-07-22
0786,0408,19.72,2022-07-24
0022,0976,19.84,2022-07-27
0279,0852,71.71,2022-07-27
0966,0827,14.89,2022-07-28
0735,0888,3.73,2022-07-29
0938,0844,52.62,2022-07-29
0936,0530,25.9,2022-07-30
0251,0132,11.67,2022-08-01
0945,0945,78.81,2022-08-19
